case,num_errors,error_dict,fidelity,alpha,beta,alpha_rec,beta_rec
333,2,"{8: 'Z', 7: 'Y'}",1.0,0.9206792663292581,(0.10379092813559276+0.3762673674239785j),0.9206792663292581j,(-0.37626736742397854+0.10379092813559271j)
334,3,"{4: 'Y', 6: 'Y', 8: 'Y'}",0.0,0.9772724198499766,(0.12103127968524462-0.17404035950986532j),0j,0j
335,1,{2: 'Y'},1.0000000000000004,0.31322655872296173,(-0.7754405141805296-0.5482527992432022j),(0.3132265587229617+0j),(-0.7754405141805297-0.5482527992432022j)
336,1,{4: 'Z'},1.0,0.9996860445118052,(0.0237477935088285-0.00799091432835605j),(0.9996860445118052+0j),(0.02374779350882853-0.00799091432835605j)
337,3,"{8: 'X', 5: 'Y', 4: 'Y'}",0.0,0.006938896160677743,(-0.8392914375428565+0.543637502925724j),0j,0j
338,2,"{4: 'X', 7: 'Z'}",0.0,0.7093634887359302,(-0.44401188674818465-0.5474092484373159j),0j,0j
339,2,"{0: 'Y', 5: 'Y'}",0.0,0.9473696980684883,(-0.19285236901073458+0.25553594453338446j),0j,0j
340,2,"{0: 'Y', 5: 'Z'}",0.0,0.9516009951402404,(-0.018624405345268092+0.30677137671829674j),0j,0j
341,1,{8: 'Y'},1.0,0.5372526024146805,(-0.16551614191778674-0.8270211895491579j),(0.5372526024146806+0j),(-0.16551614191778677-0.8270211895491582j)
342,1,{5: 'Z'},1.0000000000000004,0.5154875712500829,(0.8546193320535769-0.06243685744004829j),(0.5154875712500829+0j),(0.854619332053577-0.062436857440048295j)
343,3,"{0: 'Y', 4: 'Z', 6: 'X'}",0.0,0.85173793410802,(0.09862995913427446+0.5146014212597683j),0j,0j
344,2,"{2: 'X', 5: 'Y'}",0.0,0.8871108089778387,(-0.4329737667758793-0.159900374854442j),0j,0j
345,2,"{4: 'Z', 0: 'Y'}",0.0,0.07500001824471275,(-0.33596408074198564-0.9388839830961466j),0j,0j
346,3,"{0: 'X', 3: 'Z', 8: 'Z'}",0.3679095449378779,0.8847427483744912,(0.34278635042751127+0.31579706641978045j),(0.31579706641978045-0.34278635042751127j),-0.8847427483744913j
