case_num,num_errors,error_str,fidelity,alpha_orig,beta_orig,alpha_rec,beta_rec
766,2,q0a=Y · q1b=Z,0.9333983968095892,0.7931181702971234,0.6090677860013146,0.6090677860013144j,0.7931181702971231j
767,1,q2b=Y,0.9999999999999993,0.9316710682967444,0.3633029321362587,(0.9316710682967442+0j),(0.3633029321362585+0j)
768,1,q2=X,0.9999999999999991,0.10745149859196443,0.9942103275717573,(0.1074514985919644+0j),(0.994210327571757+0j)
769,1,q2a=X,0.9999999999999991,0.36034019201921574,0.9328209613937472,(0.3603401920192155+0j),(0.9328209613937468+0j)
770,2,q0=Z · q2b=Z,0.5760414287465814,0.417659543635142,0.9086036020237235,(0.9086036020237231+0j),(0.4176595436351419+0j)
771,1,q1b=Z,0.9999999999999993,0.2666024646435426,0.9638065811385543,(0.2666024646435425+0j),(0.963806581138554+0j)
772,1,q2=Z,0.9999999999999996,0.8744360405836518,0.485140815566353,(0.8744360405836514+0j),(0.4851408155663529+0j)
773,2,q0a=Y · q1b=Y,0.9262843259336433,0.6035286630484094,0.7973413026295575,(-0.7973413026295573+0j),(-0.6035286630484091+0j)
774,1,q1a=X,0.9999999999999993,0.0036640433478474987,0.9999932873706429,(0.0036640433478474822+0j),(0.9999932873706425+0j)
775,1,q1=Y,0.9999999999999993,0.6619740803930004,0.7495267286013497,(0.6619740803930002+0j),(0.7495267286013495+0j)
776,1,q1a=Y,0.9999999999999996,0.9970303965707071,0.07700901449868404,(0.9970303965707068+0j),(0.077009014498684+0j)
777,1,q1=Y,0.9999999999999991,0.60644338405432,0.7951266703719254,(0.6064433840543197+0j),(0.7951266703719251+0j)
778,1,q0b=Z,0.9999999999999996,0.533773209504666,0.8456276726876244,(0.5337732095046659+0j),(0.8456276726876241+0j)
779,1,q0=Y,0.9999999999999996,0.6642434406396838,0.7475163219403005,(0.6642434406396835+0j),(0.7475163219403003+0j)
780,1,q2a=Y,0.9999999999999991,0.9093516773172742,0.416028276635447,(0.9093516773172738+0j),(0.41602827663544684+0j)
781,1,q0b=X,0.9999999999999991,0.4830586711023101,0.8755879854548428,(0.48305867110230993+0j),(0.8755879854548425+0j)
782,1,q0=Z,0.9999999999999991,0.9399525010428046,0.3413052823842262,(0.9399525010428043+0j),(0.3413052823842261+0j)
783,1,q2b=Y,0.9999999999999993,0.5960698297332669,0.8029325987165761,(0.5960698297332667+0j),(0.8029325987165759+0j)
784,1,q2a=Z,0.9999999999999993,0.7642182946417838,0.6449576715838052,(0.7642182946417837+0j),(0.644957671583805+0j)
785,1,q0b=Y,0.9999999999999991,0.6848291294075166,0.7287036870463486,(0.6848291294075164+0j),(0.7287036870463484+0j)
786,1,q1=X,0.9999999999999998,0.974875364422745,0.22275103555678516,(0.9748753644227448+0j),(0.22275103555678508+0j)
787,1,q1=Y,0.9999999999999989,0.08762642643006752,0.9961534065549823,(0.0876264264300675+0j),(0.9961534065549819+0j)
788,1,q0b=Y,0.9999999999999991,0.9862351089078277,0.16534905490375534,(0.9862351089078274+0j),(0.16534905490375537+0j)
789,1,q2a=Z,0.9999999999999996,0.8241177718167706,0.5664184832575304,(0.8241177718167703+0j),(0.5664184832575303+0j)
790,1,q2b=Y,0.9999999999999996,0.9848868458331442,0.17319902108511007,(0.9848868458331439+0j),(0.17319902108511007+0j)
791,2,q0=Z · q0a=Z,0.9999999999999991,0.8070383703469007,0.5904989998194905,(0.8070383703469005+0j),(0.5904989998194903+0j)
792,1,q2a=Y,0.9999999999999996,0.646752762903498,0.7626997205169881,(0.6467527629034979+0j),(0.7626997205169879+0j)
793,1,q0a=X,0.9999999999999996,0.7086600365914463,0.7055501063271198,(0.7086600365914462+0j),(0.7055501063271196+0j)
794,1,q0=Y,0.9999999999999993,0.07768193624223567,0.9969781927312439,(0.07768193624223566+0j),(0.9969781927312436+0j)
795,1,q2a=Y,0.9999999999999991,0.9964939433425599,0.08366493220934877,(0.9964939433425596+0j),(0.08366493220934873+0j)
796,2,q2a=Z · q2b=Y,0.9999999999999991,0.6702015343629619,0.7421791585173566,0.6702015343629617j,0.7421791585173564j
797,1,q0b=X,0.9999999999999996,0.9824492282361557,0.18653019578122515,(0.9824492282361553+0j),(0.18653019578122515+0j)
798,1,q1=X,0.9999999999999991,0.25379732711569597,0.9672574201053866,(0.2537973271156959+0j),(0.9672574201053863+0j)
799,1,q2b=X,0.9999999999999996,0.6511019350051451,0.7589902965338594,(0.651101935005145+0j),(0.7589902965338592+0j)
800,1,q2a=Y,0.9999999999999993,0.6334016480573337,0.7738232047685398,(0.6334016480573335+0j),(0.7738232047685396+0j)
801,1,q1=X,0.9999999999999993,0.13747081221050922,0.9905058181505967,(0.1374708122105092+0j),(0.9905058181505964+0j)
802,2,q2a=Y · q2b=Y,0.9090567347287248,0.15257020041533775,0.9882926357841708,(-0.1525702004153377+0j),(0.9882926357841705+0j)
803,1,q1b=Y,0.9999999999999996,0.467241740532528,0.8841296035673355,(0.46724174053252787+0j),(0.8841296035673352+0j)
804,2,q0=X · q0a=Y,0.07059761671178674,0.6059281639509253,0.7955193650258054,(-0.6059281639509251+0j),(0.7955193650258052+0j)
805,1,q0b=Y,0.9999999999999991,0.696212047796812,0.7178361822188747,(0.6962120477968118+0j),(0.7178361822188744+0j)
806,1,q2a=X,0.9999999999999991,0.8609681855839386,0.5086588084485519,(0.8609681855839383+0j),(0.5086588084485517+0j)
807,1,q0=Z,0.9999999999999996,0.8312268038696518,0.5559334497299506,(0.8312268038696515+0j),(0.5559334497299504+0j)
808,1,q2b=X,0.9999999999999996,0.876559636434286,0.4812932617170038,(0.8765596364342857+0j),(0.4812932617170037+0j)
809,1,q0=Y,0.9999999999999993,0.7079057626109975,0.7063068959468979,(0.7079057626109972+0j),(0.7063068959468977+0j)
810,2,q1a=X · q2=X,0.9999999999999991,0.9013047346438648,0.43318561299811464,(0.9013047346438645+0j),(0.4331856129981144+0j)
811,1,q0b=Z,0.9999999999999998,0.998815046457066,0.048667267962864,(0.9988150464570658+0j),(0.04866726796286401+0j)
812,1,q1b=X,0.9999999999999993,0.38742139082297816,0.921902742122394,(0.38742139082297805+0j),(0.9219027421223936+0j)
813,1,q1a=Y,0.9999999999999991,0.8126344364478754,0.5827737748895742,(0.812634436447875+0j),(0.5827737748895739+0j)
814,1,q0=X,0.9999999999999996,0.5157913831936712,0.85671421665755,(0.515791383193671+0j),(0.8567142166575497+0j)
815,1,q2b=Y,0.9999999999999993,0.6403441312165219,0.7680881418278489,(0.6403441312165217+0j),(0.7680881418278487+0j)
816,1,q2=X,0.9999999999999996,0.6551570434087663,0.7554927190065328,(0.6551570434087661+0j),(0.7554927190065326+0j)
